review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate
c9e55c03e962789d786f9b2800c597b18df312e0366af311b82a15c78a4a3772	a5b71b15089df7d0519937e2560141eb086c4257c1e9ef12f20629959dfd5772	19af917f9c96e6e96b984e95c53a93ad9ab35457202511f7b151a8681accecfc	기타	기타	매설작업	매설작업	기타 > 기타 > 매설작업	CANONICAL_GAP				HOLD	NO
ca35d175598cc7e9f2aa25fc2ba84d72f0adcae1a9dd3233ff3abaa8f7968aab	5f93221a423abf12677f5b93f3c3010718ae1f9001503ffee7b041f964c31de8	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	철근콘크리트공사	설치작업	설치작업	건축 > 철근콘크리트공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
caa283c3eee60065ea7429212c0b40bd0903f66e51b216cb7aefc74d3aadba99	c86605e7e367da0a2469614e60a74518e301e7cde5a4d41a25d8e586ff95bddc	30dcdc5a76164fafc012336eacaf3c873d854adcb0be380e11d6dce61b78d8ab	토목	철근콘크리트공사	인양작업	인양작업	토목 > 철근콘크리트공사 > 인양작업	CANONICAL_GAP				HOLD	NO
cb5aa51dc7d07909229019d5df41272b8bf985ce7c73f95467513bc6a38aa688	c64de97ce4b5772b9f47d64245eeaeb306e4a53060bc721b12ec21b9cf8db574	cf5fea65784d96e176786807861c6e1dc09cbf17dd41bc7cd1c340efc5171e1b	토목	터널공사	연결작업	연결작업	토목 > 터널공사 > 연결작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cbbc218690d239414cd8e030ec4231bde8d3b5e7f0b5ad1b22a83b8d8cc642f7	6122964f50c7a3a2a72d4e9d54fc6953eb89dbe8bbda6dd0ac52234e42bfb117	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	가설공사	설치작업	설치작업	건축 > 가설공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cc09e88cf3f769b4df32a4d0cfe2865276b38984a139898a23bcb3b67d428ff9	4f2af888a9cd88a01786e15c157fd561d9c3f99c470205d945a6040a41f351f6	0756c82cf78ed670c83363f3233e0d198432bafe0a422ed6fc857ca0754e82cc	건축	해체 및 철거공사	반출작업	반출작업	건축 > 해체 및 철거공사 > 반출작업	CANONICAL_GAP				HOLD	NO
cc3c6a06ad5182ba40c986cc9e1d99e14cca85c92fb06de4eadd35aa02a1739c	80538be9bab5a27b4f961597173de91b402184a2aab9a6dd991bd2f3e015ceaf	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	토목	하천공사	설치작업	설치작업	토목 > 하천공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cc6a731004f639a357037fc36473228ea62a0c958ca14b7a4e0778aa64014007	4a714917c49a7f14037e8596cd0b8aebf1d538d116a0d31eaa9ae2534ab6237b	48105d18ac598a275b9d9af1d4c9dde59b1b0828183211841e868a38d688924f	토목	가설공사	절단작업	절단작업	토목 > 가설공사 > 절단작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
ccc862fed147a4e48b02cc8ff148c0f4f0309eea12fdaaa33f434dab58c690fa	33a19b557d35741aca8df8343cf28c6eb5a8a0dbcc37bfa5c1160dcff1ced5b0	e7316cf9a23edc1490a432601f518b9184dc64c9b05170a4729e8a61ba35dfe4	토목	토공사	이동	이동	토목 > 토공사 > 이동	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cd2de0134e2f8d545f82277fb23a38e0087c26209d660b9e798f1a00932846cc	c8c900acf899f25f9462a0ce28926e85e7c8ddc92def3b2b692bbe0bb41b7a9b	661b1eba5666bb84171755d9955531e6151203c533db707086e82888b2386540	건축	철근콘크리트공사	고소작업	고소작업	건축 > 철근콘크리트공사 > 고소작업	CANONICAL_GAP				HOLD	NO
cd894d27dd08d80fa0ee83dfe5af985f4183cfe12fd61399d98e228b353176e5	c0f3a5af06d7231d9edf15580e8f4a74eb9ed4b7159d56a481a487c7b83f1c6b	997f626aa64669e84021801d98f7e3a3606f7cf83769292b52db6dc016179421	건축	철골공사	확인 및 점검작업	확인 및 점검작업	건축 > 철골공사 > 확인 및 점검작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cdcc503648f713985b5afbe1e74c8399743fcb285620a6e0091b4ffdb02bae1f	f6f0b4a396739183a88115c351df1abf9d6546dbda74b86c27e4a83cf42e0e39	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	지반조사	설치작업	설치작업	건축 > 지반조사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
cf32a8189d7bcb557401ed2319030ba17b6f6a246d25d03c18847ff298b2bb95	86ccea64c98825bd4f21e0f4609aca55a26f4ac3072e69a53cd30de49000b5c1	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	조적공사	설치작업	설치작업	건축 > 조적공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d008c73cf98554ef03888816f29ef3ea09683e0cc1939257238eb972e935ee30	cab8974f312de1c5920a83d975b22e116806c34bafd1493806406ab218c0afb5	1391ca1476e71a2d09c59834e96ab8f45c21ffbf53cce7ae23aed2c4783d2299	건축	목공사	마감작업	마감작업	건축 > 목공사 > 마감작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d0fcbf7649130143a4f1e8418db90e408214434a13c72e41ef86cb4943001207	94d18e1df81d07d4a87a4194e0ad1eabeb0cf9dfd8321452ace40b1e4ed1bb87	4ca71b41bfbd8dcb80a9d8059a77d8c0e600cae75fbef1caa99f4dad989f04b7	토목	지반개량공사	정리작업	정리작업	토목 > 지반개량공사 > 정리작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d10aeef2b21d4f0613bcf7cb44a5d6bb9953ad3e0da7353ff261e6e54a146011	1dfc51872550d244535006617f132d02206d692f1e6e817571f79b0d9fe50a48	b1d6b393b80eb3d2952fefdf0d7b27e2d89a40311350d9e8345f9cc2d1f846f1	건축	지정공사	굴착작업	굴착작업	건축 > 지정공사 > 굴착작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d11e8e3046377b2f723a160d9acc399db7719f48c260222eb2a0f82956fe0592	987352cf2a58396a36667a18bfa7d9ab7a0c35eb94dfa6dcd7afd8a681431586	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	도장공사	설치작업	설치작업	건축 > 도장공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d16ff98135badd96b5082da4b855ac32e4171fbba1abd65a187a45f8c0847bf7	af7b7ae54018f4cf6c34713f850d5827376607440c9b8459624f85d3614334ef	997f626aa64669e84021801d98f7e3a3606f7cf83769292b52db6dc016179421	건축	건축 토공사	확인 및 점검작업	확인 및 점검작업	건축 > 건축 토공사 > 확인 및 점검작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d1f07cc4cebf4c749387f53217809410bca26243b0705eb3f999acfd234e6c62	d2e901777355c003daf2858cb92b2bacc0fbccbde7ec32bc61d7fdf8dd864eca	f1403c0703a57a01edda9abee1bc15476d3c2ff0f5ef8724b106e5898e745a9d	건축	해체 및 철거공사	양중작업	양중작업	건축 > 해체 및 철거공사 > 양중작업	CANONICAL_GAP				HOLD	NO
d20f071dfbb924b638158d4f411db6f69ad604dac8d3e7e87d7f915ffe1f2682	c091c53a2601ca4ea0c92c9345118cabfe8b761e86ccdf6dd678ac10d85361c8	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	토목	교량공사	설치작업	설치작업	토목 > 교량공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d26ffe10d2c4e58b6d656c9f2cb640b7958b83e0510fa50c92adaa67515dd83a	943cc3aefaec71ca740a9fcf1ca2375cc3ca3a40dab08a99f4fdc92dd7bf6ed8	48105d18ac598a275b9d9af1d4c9dde59b1b0828183211841e868a38d688924f	건축	건축 토공사	절단작업	절단작업	건축 > 건축 토공사 > 절단작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d2a591a17cfb65e0d4e9234ccf79081f313acc15051f637bcf8dcf76dea0f1e7	b1c6270bb6336fc34d7dabd897b7ac43b07d621c79342de454e84a80fce93a95	cf5188a72ceab1ccd264117d85b4fdfffe7d059db4a699c96f8558861c4e4bcb	토목	하천공사	부설 및 다짐작업	부설 및 다짐작업	토목 > 하천공사 > 부설 및 다짐작업	CANONICAL_GAP				HOLD	NO
