source_key	parent_source_key	work_big	work_mid	name_raw	name_normalized	path_raw
a98a931a02af0e7dafda62780e3a01c0142aa554a2851fba159b98f35bb6198c	2fedcc96256e2b1b71331e3bcc7fdf71299ee7ac4c834c71fe3e0c4b3465fe0a	건축	가설공사	굴착작업	굴착작업	건축 > 가설공사 > 굴착작업
85fd02acec1d699ea0a4c5d49c0b8ae22f8a0789f3b6ea15caaead7d7ec379b1	9079d78c78ec31d527c42aa8d8c9d72cb16a04a847b6d82b28a20e0615ef77c8	건축	건축 토공사	굴착작업	굴착작업	건축 > 건축 토공사 > 굴착작업
034b72f6b6a3c5eda4a353dc9a958f9d183608ee5d8985c29181ab1222c973f7	ff545edd9c384c7436e7a912c81232e604620903a4326832fd2b421853373a43	건축	건축물 부대공사	굴착작업	굴착작업	건축 > 건축물 부대공사 > 굴착작업
0fd555efefe20a1b7aedc94daf0ac5ec2fcb542cc040877e6f38bf013784efc1	92fc08fb809cc1c3bddd257855e3331be3ea726e4c964aa27d9dcb3137079040	건축	지반조사	굴착작업	굴착작업	건축 > 지반조사 > 굴착작업
1dfc51872550d244535006617f132d02206d692f1e6e817571f79b0d9fe50a48	482a7dcc2bf530eae9ab1032c048bc32d5e180c80cadc6c1fea286bdc11e6487	건축	지정공사	굴착작업	굴착작업	건축 > 지정공사 > 굴착작업
327753f356d0a794d6671f3f806e527cd3aa21435b02ca04ea1decc6379027dc	1bda673e67d9a12e21efca383859477c9ee86d489623313ec64c630192394805	건축	철골공사	굴착작업	굴착작업	건축 > 철골공사 > 굴착작업
9e31491672eb1775da4649019e6205bf556f94163b160c5d4e73a5310414cd5d	3143a03fce721cb2d976b2aed78c9b1b10edcfa04d206f1dcddf59340f1e6b18	건축	철근콘크리트공사	굴착작업	굴착작업	건축 > 철근콘크리트공사 > 굴착작업
821357f2977971e83b437bddaa65dd331d8f8a506d2160f842b2046d0706a68f	817b82a16c6a75af5c6073f5a2f1d4d855343279e834f05e19cfeee8872ea5da	건축	해체 및 철거공사	굴착작업	굴착작업	건축 > 해체 및 철거공사 > 굴착작업
a14054dfbf5fe38731b002eb2e201828f57e087ef6dca16633bd41d0d6a06fbf	92780acb02509d83e67eb6aa04be60122fe8cc8344750f4b420cbb1826c665cd	기계설비	기계설비공사	굴착작업	굴착작업	기계설비 > 기계설비공사 > 굴착작업
7175b14e52e219411bc9e29c77665328a3d22b707a1fc6b345579700ae9da19b	36f84dc937e94c7f2d307dbb7c398c9e7ce45d7161a7d8c742eadc62482cd751	기타	기타	굴착작업	굴착작업	기타 > 기타 > 굴착작업
