review_concept_key	canonical_id	node_kind	parent_review_concept_key	parent_canonical_id	name	name_normalized	origin_type	status	approval_id	approval_package_sha	amendment_approval_id	amendment_package_sha	materialization_id
cc03b5f255e4c76a4d9018d5b36c052591b7677fe406b8c343fb8873feb99bf7	0b5224ee-1c0d-41eb-8367-a80e2762d7bf	PROCESS	f9cf17b2b2f5c6b7d8fe1ffb539484309590b0c9d771213a593bf60e8c1b046d	1b96d7bd-0fa0-4ae4-8c4e-9c24b0b90b24	기타부위석재붙이기	기타부위석재붙이기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cc38efdcb70d8a894aa5471bb3ddfc5460c39d6087767e834b38a03d20e906a4	52d972be-250e-4f78-9374-3a72e6d64c3c	PROCESS	e04b0bdea193e90dc8375f29fe1455c07217b68da111c911ed87de115fb32aa4	8b9af581-a78c-455f-af5c-77f3941d02e9	차량용엘리베이터설비공사	차량용엘리베이터설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cc4f9149b9012a504e16296fb05e7bbc1a0f915cea2afee136e7f695810da2c5	05954d38-bef7-419b-87b7-ab18d9a4f1e0	TASK	663731e91305b8886f5920d0f41659f79dea06180109346b38779bf90058409e	1850eed5-cd9e-4d3e-9bc3-d99c95102c33	자기질타일바닥붙이기	자기질타일바닥붙이기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
ccddfaaf92e40d4865f46db3e89f447c8859774867b15f58f3a2e029e488b40f	6fa0e036-8f32-40e2-8c71-2c6b0c8fa03b	TASK	eb0b1e8ac0c91157de26d21c83934d188ce64972b62ad553afa0b9570dc1d2b2	1e5f7b07-f903-43d9-9d58-ef1bd51290a5	상수도배관내장애물제거	상수도배관내장애물제거	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cd89aeefdc6c098061130e1078035c7ca73df57c92e44e8f80a241ba6592a94b	99b54531-e7ea-49b8-a933-a716f7611445	TASK	3e480e6d1bd58bafcf3e792750f017666225871117ca38e32831b78babe7ed21	4c6e576f-378d-4fa6-86e0-9c616abd1216	탈질설비덕트류설치공사	탈질설비덕트류설치공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cdbbcf14d7a38ef60efde7e167b613c9a07cee070d9c26c5a17b10995a043e19	2c461a8a-fd83-4a04-95dc-07c691fb131a	TASK	d99cfbb806dd45e4a954f8a6bd14b7c83edd14232ccc2b3cc7937486349cbcaf	8c908499-6b1c-4e72-b21a-4820cbc13213	현장포말천정단열	현장포말천정단열	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
ce094cd40f6849dea02980450272409b515b65ee4b88edc5cd24ce6d64d51fd7	1552b89f-ac23-4b08-a7a8-904407cdb5fe	TASK	a492a0fe0bcc1fa46324941086217984ce0e3a41d318bcddae69d13bff90d910	fae1b190-575a-4e5f-add0-051c335c433b	자기질기와잇기	자기질기와잇기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
ced48d488628f00c2f0a9326c4242c257146d8a4aec6a654dab5dcce5e138b9d	8146b898-c187-4508-8c3b-f9550ed5f373	PROCESS	99251365e33a7c848579e36872b53d3589f622c7b93763ea82b9ba6c18867317	fabd4b6c-e97f-4f74-b62c-53c51224393a	터널주행부콘크리트포장	터널주행부콘크리트포장	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cf1ecf5c2d7cb6f58c0d55291d4f55089f496affdb0ef538b0addb2641c4e15f	c23d53b4-6e43-4cb4-b165-532318204bda	PROCESS	094c2a06438b38402ce06ad7013f0d454002110bdbcbf8e2401b3ec4dc941191	218a19dd-a075-456a-8c08-cc1df02d3d95	살균설비공사	살균설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cf2c9a0f9b8acc3da94b43d1099f39b7cee4fcf8d0bfbe648a377d0caf244a5b	91c5e9af-7673-4572-84b4-2078f821d4e7	PROCESS	fd90a2258372539070e5c4d06e5daffb0d65f1d72c4db6f0b2a9cc04d473c76c	0abadfe5-fb32-4079-855b-e59d4de25376	라디오공청설비공사	라디오공청설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
