review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate	owner_decision	owner_reason
5ed5a8da387455a45b975a1461c93711d7ca27a31cb7f65cb9d41ed1f265d3ca	51a54b0649992865c8852fa4cf2b8f315457129fd59d00919a8e7caa85858cbe	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	금속공사	용접작업	용접작업	건축 > 금속공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
5f92b2168c108dbc205c2c93192aa2e78fb01c07751763c462e8c54599501e52	4def190a95a9a07b35c92f796850d2b8bf6c42cf8b38892beee112680a4061cf	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	가설공사	용접작업	용접작업	토목 > 가설공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
61152407f954d446ad341cc1c174a6649d41cac70f0a769fe6b02b3d42abb500	a65d86052ddd8a6835263234820ded35585e053a2ce72f4ad6bdabc8a255c312	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	미장공사	용접작업	용접작업	건축 > 미장공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
633042aa8f7aaabda70d24aba1668c12d463586c35c179437946b2317428ff97	a940040a66358a0ff561d9e7e2fa45278c6fd18e91e7c2f87a746de5b570601b	8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	토목	토공사	양생작업	양생작업	토목 > 토공사 > 양생작업	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY		
6b223cd3cf40334776c0959bd8d292d715198e4e9e340729d6b03bd23db24fd0	cc3283c85a234ec0d1e363ba7f0e25cac93f3a535611fa4de81e52d445110022	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	토목	도로 및 포장공사	장약 및 발파작업	장약 및 발파작업	토목 > 도로 및 포장공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
6e9d5febb99ee3fcdb7b1228028658e9475a8344445ddf043ac3d080ee3f3870	91f6bf9c63f02e1c6aba13929e0a2726e4fb4ec26a935801ceb40d3bf182bc0e	b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	토목	교량공사	인발작업	인발작업	토목 > 교량공사 > 인발작업	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY		
6f97dc5e9cadec215d16f88e3f7ebe0d88cfd465728c1b48cf61f5ce96d798f1	c10af25e7222a7cb959ee15e84216a84dab5764890a2586272633c6624e4d95f	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	건축	건축 토공사	장약 및 발파작업	장약 및 발파작업	건축 > 건축 토공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
70b7f79226e63be1464a0057233c3eaf934a7719d729921da2819a137425fea7	af98dff732585f6fceffc330a66dc42f4f3b49a1193848e5def1b6e653c1eae7	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	산업설비	산업설비공사	용접작업	용접작업	산업설비 > 산업설비공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
72d20385a7aea0100133ca77bb4b3a15ef50912544a63867ccdde3f441ec9999	054230c579275c8757ec01d947f76f26d285e6fdd5804150643e4bcf776f8ce1	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	기타	기타	용접작업	용접작업	기타 > 기타 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
72f6c249ce97c62a6e1bb62b6d93f279ed79b4a3c3ea680b95bbca4dd82fb170	3fb3b00d3bde2e3e9083f46c755f377d446405798421719baabdfa39bf09b539	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	가설공사	용접작업	용접작업	건축 > 가설공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
7ad543d9e5021cffe87648bb3c7279e490f439cdeea8c3e619a3104bb4d426b2	4bcd12813a918603d8b38a34a89b9d68226deb2c86a82f9d286de0c8f394cb62	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	토목	터널공사	장약 및 발파작업	장약 및 발파작업	토목 > 터널공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
7dbff8d1c632e911b1feae0cbb4cc218a06d5c5e221fa7f2bc24e8c8ebd9a67d	af639997418873989ccc161215f2d99c4aff3b77538bc056a9581b7cdf1453df	b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	건축	건축 토공사	인발작업	인발작업	건축 > 건축 토공사 > 인발작업	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY		
8345a1ff440e630fb7f73846501025ad742dbf877da148b1e97f3edacb58fca8	6ac3a80b516f9822413f5a16264745c3da6535e59a5d41e94d256e16db88db91	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	산업설비	산업설비공사	장약 및 발파작업	장약 및 발파작업	산업설비 > 산업설비공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
8a114d2d1daa9b331d055f2757075cc5f82c922d6aaadf7cee34c75ef6e55354	a24bc1a5be7dd9ef24584696ad3086702a705bfef93b41fb2440a1e48a2718e7	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	기계설비	기계설비공사	용접작업	용접작업	기계설비 > 기계설비공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
