mapping_plan_key	source_id	source_key	source_name	review_concept_key	canonical_id	canonical_name	canonical_kind	canonical_origin_type	mapping_type	mapping_status	mapping_method	evidence_basis	source_context_policy	owner_approval_id	owner_package_sha	canonical_receipt_sha	source_ingest_receipt_sha
c275e12f81bf428b40c9230d8bac16e5b0358d05eddc5eed890bb1163cd65f28	CIC_W	3336	레일신축이음장치설치	f7eb29fc70fee2fbfc58c457b21380387a748a6fdcab112ffe168f5fae809e0e	8cb5a832-c41a-4ea7-82fe-dd79c5021ea7	레일신축이음장치설치	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
9938a091ae506a48e6ac88197189b6072b4efb4ed56141d7d65dcdf2ec3c438b	CIC_W	3337	웨인뎃트포인트붙이기	edcc289e8e287947375272afadeba14dc9c442c429193054b4bc75a3ca812764	c8cf512b-7446-44ff-841b-b27baf300a57	웨인뎃트포인트붙이기	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
8f5d6a7cbc1e9e2d613bfbb33ed60dbfa0e8f7d63614ea1d933a42a3e66c335b	CIC_W	3338	궤도교정및시험	cfba5073ae85c3893b18caa7ea198fc192507e0f8b6e4628cc32f1206b765d64	89cc64a7-aab9-473f-a6a1-b9ce157c51de	궤도교정및시험	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
029673c7884c734921b7ad56db82fc5b7788c7e01eca638aa43ddec92148ed5d	CIC_W	3339	기타궤도부설	89ef8aed6032f0f30ffeba6d54156fb67ef5d13f1417ba343a09c401f50eba90	ed478eea-0d90-41f9-8fe0-9c454a9ce042	기타궤도부설	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
370c7d185d6b0f6f6fb0ec30b8d02a389d440974583683989da27ee7fdc2f949	CIC_W	334	분기기설치	32dd7d37c2be30a00201eafed5f2957ce9be85730a29767875f1fbce826b3c52	eeca97e5-ac34-47f0-b903-da44abe0636f	분기기설치	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
a19fd9e10922bbccd01e53dc779f3d7cbb882397b0c1b24cb0714c9c2ebf0387	CIC_W	3341	일반궤도분기기설치	a5dd901414eece0b52464ba8a3e7f4b291c5861e10dc4ac8b581628faf65cd21	8cc42f80-da0d-4668-824d-871db57dc06a	일반궤도분기기설치	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
2696715f115416b989bc0ff0ed4087cf04c7c73fe3502677147bb5dfa22110d3	CIC_W	3342	치하철분기기설치	aeeb6de9f457790760b59de05f20d54955228560239e5211d46d19f57e2fef8f	abc8d3e4-bd04-4864-bbb5-82d54b881950	치하철분기기설치	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
9ab8be5916b9c8d7ea1fbbf07ba33f7a7ebc746b40e119ffcd60ad6cb0913be3	CIC_W	335	건널목공사	7f3096c3b1ffcbc09399fbb58b6bbd30a438e0659db4c98e16b831094794ba0d	c1680b32-68b5-4fc5-8c80-efd711650709	건널목공사	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
7e7f7301c4448e587bc1290a418899c154ddccb06ab9ca4bdbcc8c6e1cb099b2	CIC_W	3351	건널목깔기(구형)	0cdf9d0f486e1be1b488f201687953ceacccce9b6812a91483c03cd0e4347318	510af8b0-bdd1-4a31-a12f-c2c225fdb2c6	건널목깔기(구형)	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
b593bc116deb66739f050c47cf65b744abe62fbabae0a76b271a2f37454c7084	CIC_W	3352	건널목깔기(개량형)	7be252a6ee307aae0aaeb7e639cc8a086d9fcc4380867da7cef6c753c4d80e63	517767c0-f4d7-4d49-830d-77226236abc6	건널목깔기(개량형)	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
