source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	exclusion_lane	exclusion_basis	owner_approval_state
0875	89c29afc29daae71f92a907a9ecfe43c085cf3f6c4751d639ea234f93ba14df6	도장	W_LEAF	건축품질시험 > 건축관리시험(마감) > 도장	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0876	d8ee30afb93bcdd50ea11972ddca50b0076e63ad9c729226d98b23d2c08e6450	창호	W_LEAF	건축품질시험 > 건축관리시험(마감) > 창호	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0877	d720d731457ccc41b0a90bb636009192aa013084e640f3cdff19012c74940f57	금속재	W_LEAF	건축품질시험 > 건축관리시험(마감) > 금속재	MATERIAL_COMPONENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1121	5990c9fd74f3f766c27be9d344989eaa7d705929723d0e261b275c7188cabfc7	등고선	W_LEAF	측량 > 지형측량 > 등고선	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1122	ea6e64ec2fa399aa163ce98eac6fa1f735644e3dea108c5cd2a93601cd0ea998	지성선	W_LEAF	측량 > 지형측량 > 지성선	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1131	074aac1140c29860501e6354515e0506624b9fb05b3c6bc4d105c1b2b7b72c6b	하천	W_LEAF	측량 > 하해측량 > 하천	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1132	c2854d05005a75df5c99b93c3d89e5881162cbc45dd550503dbd5cc930f769b3	운하	W_LEAF	측량 > 하해측량 > 운하	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1133	7c105303e04f296145faf9f41176c9540b2bf6315289db320000592138fbb27c	항만	W_LEAF	측량 > 하해측량 > 항만	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1134	0ce2406906faf7a17a3ec8c9469f519d0062a9c6f17f4efd1ff8f9297eea8629	해양	W_LEAF	측량 > 하해측량 > 해양	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1141	ad800edcc9229da36ae043e074f3cd3552a283682f114fed33586502d2903c60	도로	W_LEAF	측량 > 노선측량 > 도로	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1142	b05533f42f063fe77b2a994cb83eb2a077bdc1dd6aad0a5d3d414a5fbc92d854	철도및지하철	W_LEAF	측량 > 노선측량 > 철도및지하철	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1143	7fd6b99cffec0d78750b1a2cbf92a691dc015087a703044e142037d7f8970d65	시가지도로	W_LEAF	측량 > 노선측량 > 시가지도로	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1144	0dfa1badad7678a95a86121396fa31617b6d68f1e1148dfb777d0f31be181475	수로	W_LEAF	측량 > 노선측량 > 수로	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1145	cbefccf2bc24c75934300f9d249d63e48b1dd921fbecf64044a94ce84bdcd36f	전기	W_LEAF	측량 > 노선측량 > 전기	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1146	3c17f2a1cf54edb7ceddf31899f5cf2f71a78953fadfb7dcad2ec59fcb1e110c	상수도	W_LEAF	측량 > 노선측량 > 상수도	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1147	e173694552c6d5ba47ce682ee3c2ec8c54493942d70f1209976812ce8c9f4b97	하수도	W_LEAF	측량 > 노선측량 > 하수도	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1148	01bc206eaab3fdc8148c4352d8c2365729b6af29fea47a3c5f25cef1bc0571c9	통신	W_LEAF	측량 > 노선측량 > 통신	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1149	a7478945a3c2a54c997fdda1d2c03661cede250def51bf2e2aee37fa8e896b6a	가스및송유관	W_LEAF	측량 > 노선측량 > 가스및송유관	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1167	4c5f039a18e64b1e07c729bda0f3ba5f651607d82655f257e799c3e70c80c1d9	표줄	W_LEAF	측량 > 시공측량 > 표줄	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1168	9d258dec8c7d8087ca2bbcdba420d04f341e746128467f046190d6487769c28d	규준틀	W_LEAF	측량 > 시공측량 > 규준틀	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1212	19435a958f56e3f10ea8696e85ecb4d2218c80038b5a584840298cbd120196a6	지중수직변위계	W_LEAF	계측 > 토공사계측 > 지중수직변위계	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1251	e2f9c0a47a188bd3e9afbc01403ccfee9ae802692ae1edb3c860e9b09b4d2144	댐체변위측정계	W_LEAF	계측 > 댐 제방계측 > 댐체변위측정계	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1252	ad3f09ec3b064a37331a7ea6862fe0c76b36bbcb941d3de033eb617f595c03bf	콘크리트및이음변형측정계	W_LEAF	계측 > 댐 제방계측 > 콘크리트및이음변형측정계	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1253	2c58a3839430ba89e9cdb5a019c74b188361d8c19e210965a831e3f59bbca50b	침하측정점	W_LEAF	계측 > 댐 제방계측 > 침하측정점	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1254	2fbc9dd370b7cb71c0e468e4293b7b9e2f073b6bde7bd3b24c5755dcd5d8da19	지진계	W_LEAF	계측 > 댐 제방계측 > 지진계	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1255	1c72ebef5c2d65388c3ddb014069cc986daf2ec44f20904c5f3a9183c8921caf	누수량측정장치	W_LEAF	계측 > 댐 제방계측 > 누수량측정장치	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1256	03ed798a7ca7bcf1f6ead3c3e07935eceac9b8c240dc61b8cb5c38abca290cb4	수위측정기	W_LEAF	계측 > 댐 제방계측 > 수위측정기	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1258	75349ef18df91e43f4573dc76107168b4c0279fbdee573aba1e7872edd6ae5dc	댐계측관련설비	W_LEAF	계측 > 댐 제방계측 > 댐계측관련설비	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1321	520952ce4790bd31f9a140cf97f83798652a78ac8ccbfa7922d1b477c79ea67a	충격식(Percussion)시추	W_LEAF	지반조사 > 시추(보링) > 충격식(Percussion)시추	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
