batch_no	seed_proposal_key	kind	name	source_id	source_key	source_path	parent_path	grandparent_path	depth	is_leaf	child_count	sample_children	support_count	risk_content_support	source_occurrence_support	same_name_count	same_name_compatible_kind_count	same_name_incompatible_kind_count	same_name_paths	risk_sample_1	risk_sample_2	risk_sample_3	mechanical_flags	generator_review_status	generator_ambiguity_status	owner_decision	merge_candidate_keys	owner_reason
48	c257b24269ee7a031f4374fa1fd7f61d9c974c549827a2e08b834942b4aa9872	TASK	양중작업	KALIS_RISK_PROFILE	19a41bb40a70b5892cf816ec1e019794f94a6922ce943bdff1c89df3d061ad72	토목 > 교량공사 > 양중작업	토목 > 교량공사	토목	3	YES	0		1	117	195	28	28	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 양중작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 양중작업	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/상부(위); 원인=양중능력 초과; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(3)	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/바닥; 원인=지지력 미확보; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(3)	객체=부재/거더; 위치=외부/거더/하부(아래); 원인=장비하중에 대한 검토 미실시; 인적=깔림; 물적=전도; 가능=M(3); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
49	c61d71f63619a20791c4b2f362c2302aaa3cb3457817d3e367f40b48f52e7e24	TASK	조립작업	KALIS_RISK_PROFILE	d8a2ce99b11fa1e139226ac2e6baefd810d6c7be9674b9d5b5e948cf7d73a3c8	건축 > 가설공사 > 조립작업	건축 > 가설공사	건축	3	YES	0		1	116	293	22	22	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 조립작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 조립작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:토목 > 가설공사 > 조립작업	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=조립불량; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	객체=가시설/비계; 위치=외벽/비계/상부(위); 원인=조립 불량, 본구조체에 미연결; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=조립불량; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
50	6ea5ef47c91568fb030d6ef254e8e1f3b4dc352c466f44c4abb043d5da2c4c0f	TASK	양중작업	KALIS_RISK_PROFILE	cc451e2ff343e1d0dc6b6add1c62e8e74924fa8de133505998e58e046c433774	토목 > 가설공사 > 양중작업	토목 > 가설공사	토목	3	YES	0		1	115	134	28	28	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 양중작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 양중작업	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/상부(위); 원인=아웃트리거 설치미흡, 지반침하; 인적=깔림; 물적=전도; 가능=M(2); 심각=M(3)	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/상부(위); 원인=전도방지 미흡; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(4)	객체=부재/거더; 위치=외부/거더/하부(아래); 원인=거더 가설계획 부족; 인적=깔림; 물적=낙하; 가능=L(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
51	25911ee3bb3b82327416f160dafdff848c0d93514178e972821f33212818e66b	PROCESS	ALC공사	CIC_W	414	조적공사 > ALC공사	조적공사		2	NO	2	ALC블록 | ALC판넬	1	0	1	1	1	0	CIC_W:조적공사 > ALC공사				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
52	d5b4ccc848e754883c35a9d1b44a42723798268b34e023493962a2dda144b8d4	PROCESS	ALC블록	CIC_W	4141	조적공사 > ALC공사 > ALC블록	조적공사 > ALC공사	조적공사	3	YES	0		1	0	1	1	1	0	CIC_W:조적공사 > ALC공사 > ALC블록				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
53	a7728f32de3fc0ae65a88ebd8435231dd128939b2542ae89f6a65fe1882fe2f3	PROCESS	ALC판넬	CIC_W	4142	조적공사 > ALC공사 > ALC판넬	조적공사 > ALC공사	조적공사	3	YES	0		1	0	1	1	1	0	CIC_W:조적공사 > ALC공사 > ALC판넬				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
54	120e45833dd68bfe0a0f2a096de07415b6a287fb396c85b652a98dcebfc32264	PROCESS	Absorber&AuxSystem공사	CIC_W	7351	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > Absorber&AuxSystem공사	폐기물처리및대기환경설비관련공사 > 탈황설비공사	폐기물처리및대기환경설비관련공사	3	YES	0		1	0	1	1	1	0	CIC_W:폐기물처리및대기환경설비관련공사 > 탈황설비공사 > Absorber&AuxSystem공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
55	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	PROCESS	Attiplugite슬러리월	CIC_W	2352	말뚝공사 > 지하연속벽(SlurryWall) > Attiplugite슬러리월	말뚝공사 > 지하연속벽(SlurryWall)	말뚝공사	3	YES	0		1	0	1	1	1	0	CIC_W:말뚝공사 > 지하연속벽(SlurryWall) > Attiplugite슬러리월				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
56	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	PROCESS	FCM공법	CIC_W	3412	교량공사 > 교량가설공사 > FCM공법	교량공사 > 교량가설공사	교량공사	3	YES	0		1	0	1	1	1	0	CIC_W:교량공사 > 교량가설공사 > FCM공법				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
57	97f82cc77e55db3c15aea0881a42738ef12cfea05adf614ea251de82747632f4	PROCESS	FGDAuxSystem공사	CIC_W	7355	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FGDAuxSystem공사	폐기물처리및대기환경설비관련공사 > 탈황설비공사	폐기물처리및대기환경설비관련공사	3	YES	0		1	0	1	1	1	0	CIC_W:폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FGDAuxSystem공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
58	1c865c7caac006a11b86782de4307b081db4b504ef2b59e24cf2e14d4f495d94	PROCESS	FRP판넬	CIC_W	4671	외부판재공사 > 합성수지판넬 > FRP판넬	외부판재공사 > 합성수지판넬	외부판재공사	3	YES	0		1	0	1	1	1	0	CIC_W:외부판재공사 > 합성수지판넬 > FRP판넬				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
59	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	PROCESS	FSM공법	CIC_W	3413	교량공사 > 교량가설공사 > FSM공법	교량공사 > 교량가설공사	교량공사	3	YES	0		1	0	1	1	1	0	CIC_W:교량공사 > 교량가설공사 > FSM공법				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
60	5ff58b19cef349edefadfe9c0df983ff039da726b42c0d9e18e44f53aa953541	PROCESS	FlueGasSystem공사	CIC_W	7352	폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FlueGasSystem공사	폐기물처리및대기환경설비관련공사 > 탈황설비공사	폐기물처리및대기환경설비관련공사	3	YES	0		1	0	1	1	1	0	CIC_W:폐기물처리및대기환경설비관련공사 > 탈황설비공사 > FlueGasSystem공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
61	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	PROCESS	GCP(GravelCompactionPile)	CIC_W	2256	지반개량및지반보강공사 > 다짐공법 > GCP(GravelCompactionPile)	지반개량및지반보강공사 > 다짐공법	지반개량및지반보강공사	3	YES	0		1	0	1	1	1	0	CIC_W:지반개량및지반보강공사 > 다짐공법 > GCP(GravelCompactionPile)				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
62	166fcc28daca592d7f0f79de969c032c3bf11e2066c7668ad8fbe8010db6f7cc	PROCESS	GIS공사	CIC_W	8231	송배전․발 수변전전기공사 > 발전 수변전관련전기설비공사 > GIS공사	송배전․발 수변전전기공사 > 발전 수변전관련전기설비공사	송배전․발 수변전전기공사	3	YES	0		1	0	1	1	1	0	CIC_W:송배전․발 수변전전기공사 > 발전 수변전관련전기설비공사 > GIS공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
63	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	PROCESS	ILM공법	CIC_W	3411	교량공사 > 교량가설공사 > ILM공법	교량공사 > 교량가설공사	교량공사	3	YES	0		1	0	1	1	1	0	CIC_W:교량공사 > 교량가설공사 > ILM공법				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
64	ee1f60355c52e3d3ce0942221e3dfabd5d40af129a476e0fc1c5c6d5d7ac7d6f	PROCESS	LNG및원유저장공사	CIC_W	762	에너지저장및관련수송설비공사 > LNG및원유저장공사	에너지저장및관련수송설비공사		2	NO	1	LNG및원유저장설비공사	1	0	1	1	1	0	CIC_W:에너지저장및관련수송설비공사 > LNG및원유저장공사				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
65	4892305bf05bcaaa4310aa53129268992ae9bd6738eb28f42ce6f9505fc98a8f	PROCESS	LNG및원유저장설비공사	CIC_W	7621	에너지저장및관련수송설비공사 > LNG및원유저장공사 > LNG및원유저장설비공사	에너지저장및관련수송설비공사 > LNG및원유저장공사	에너지저장및관련수송설비공사	3	YES	0		1	0	1	1	1	0	CIC_W:에너지저장및관련수송설비공사 > LNG및원유저장공사 > LNG및원유저장설비공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
66	629556ca5cc690eb7a10f9a55698f79f47a77fda3e347ff0203fd57f6b5c59e1	PROCESS	LinerPlate설치공사	CIC_W	7183	발전설비공사 > 발전설비관련공사 > LinerPlate설치공사	발전설비공사 > 발전설비관련공사	발전설비공사	3	YES	0		1	0	1	1	1	0	CIC_W:발전설비공사 > 발전설비관련공사 > LinerPlate설치공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
67	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	PROCESS	MSS공법	CIC_W	3414	교량공사 > 교량가설공사 > MSS공법	교량공사 > 교량가설공사	교량공사	3	YES	0		1	0	1	1	1	0	CIC_W:교량공사 > 교량가설공사 > MSS공법				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
68	23e54dd85bd66bffef39818a96994619531f1e6b24d1731a1bf8192c83bc052e	PROCESS	NATM공법굴착	CIC_W	3515	터널공사 > 터널굴착공사 > NATM공법굴착	터널공사 > 터널굴착공사	터널공사	3	YES	0		1	0	1	1	1	0	CIC_W:터널공사 > 터널굴착공사 > NATM공법굴착				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
69	cb3e7b87864a42cd651e9999dda3899765695750eae73417932c92bf9f92fa2e	PROCESS	P.P마대가물막이	CIC_W	0373	본공사성가설공사 > 가물막이 > P.P마대가물막이	본공사성가설공사 > 가물막이	본공사성가설공사	3	YES	0		1	0	1	1	1	0	CIC_W:본공사성가설공사 > 가물막이 > P.P마대가물막이				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
70	7eb4e64be9df29fcaa2ece3d41973c572a41c6704e55c6a41e7356b413e21a79	PROCESS	PC부속공사	CIC_W	268	프리케스트콘크리트공사 > PC부속공사	프리케스트콘크리트공사		2	NO	2	PC부속재설치공사 | PC조인트그라우팅	1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC부속공사				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
71	d5ea915017e7f076451956e9fdab4d46f19c7e617f2e22f6ff57c93a9b59a9bb	PROCESS	PC부속재설치공사	CIC_W	2681	프리케스트콘크리트공사 > PC부속공사 > PC부속재설치공사	프리케스트콘크리트공사 > PC부속공사	프리케스트콘크리트공사	3	YES	0		1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC부속공사 > PC부속재설치공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
72	916b52957a2ed4ff2487f96cc0416087e7642fac86aa4b48db380e1e340d8cf3	PROCESS	PC부재생산	CIC_W	262	프리케스트콘크리트공사 > PC부재생산	프리케스트콘크리트공사		2	NO	8	일반PC구조부재공장생산 | 특수PC구조부재공장생산 | 기타PC부재공장생산 | 소형PC구조물공장생산 | 일반PC구조부재현장생산	1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC부재생산				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
73	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	PROCESS	PC부재운반	CIC_W	263	프리케스트콘크리트공사 > PC부재운반	프리케스트콘크리트공사		2	YES	0		1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC부재운반				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
74	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	PROCESS	PC슬라브조립	CIC_W	2646	프리케스트콘크리트공사 > 토목PC구조부재조립 > PC슬라브조립	프리케스트콘크리트공사 > 토목PC구조부재조립	프리케스트콘크리트공사	3	YES	0		1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > 토목PC구조부재조립 > PC슬라브조립				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
75	1e9e33472b26e81afbf9c6b439f8f79b50559c153cc71d82ad7e9422a7f1d590	PROCESS	PC연속벽흙막이	CIC_W	244	흙막이및지보공사 > PC연속벽흙막이	흙막이및지보공사		2	YES	0		1	0	1	1	1	0	CIC_W:흙막이및지보공사 > PC연속벽흙막이				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
76	fa508c7d5e0e61527e6d0c034cb5ee99a206230111ad1271cd3f6382856ee7c9	PROCESS	PC옹벽	CIC_W	3821	옹벽공사 > 조적식옹벽 > PC옹벽	옹벽공사 > 조적식옹벽	옹벽공사	3	YES	0		1	0	1	1	1	0	CIC_W:옹벽공사 > 조적식옹벽 > PC옹벽				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
77	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	PROCESS	PC조인트그라우팅	CIC_W	2682	프리케스트콘크리트공사 > PC부속공사 > PC조인트그라우팅	프리케스트콘크리트공사 > PC부속공사	프리케스트콘크리트공사	3	YES	0		1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC부속공사 > PC조인트그라우팅				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
78	fd9efc2bb3c82fcd8ca399ec862e83eba291fb48f5c646ffef4e73b9e6957576	PROCESS	PC형틀및생산시설	CIC_W	261	프리케스트콘크리트공사 > PC형틀및생산시설	프리케스트콘크리트공사		2	YES	0		1	0	1	1	1	0	CIC_W:프리케스트콘크리트공사 > PC형틀및생산시설				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
79	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	PROCESS	PSM공법	CIC_W	3415	교량공사 > 교량가설공사 > PSM공법	교량공사 > 교량가설공사	교량공사	3	YES	0		1	0	1	1	1	0	CIC_W:교량공사 > 교량가설공사 > PSM공법				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
80	3ac0772b231b17dafe1ea899b70772ad89dabb608d0c3a261a697c19868fda6a	PROCESS	PVC관제거	CIC_W	1844	철거해체공사및시설물보호 > 지하지장물철거 해체 > PVC관제거	철거해체공사및시설물보호 > 지하지장물철거 해체	철거해체공사및시설물보호	3	YES	0		1	0	1	1	1	0	CIC_W:철거해체공사및시설물보호 > 지하지장물철거 해체 > PVC관제거				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
81	6d70e7206cfa3b61b1dbcedfb234ec878a0141b119cc65f39f2bf12510c6318b	PROCESS	RC말뚝	CIC_W	2324	말뚝공사 > 기성말뚝 > RC말뚝	말뚝공사 > 기성말뚝	말뚝공사	3	YES	0		1	0	1	1	1	0	CIC_W:말뚝공사 > 기성말뚝 > RC말뚝				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
82	5d973d4bd3610d1d8e89b683eaec3d91219ad8176d08d595467a0490a8fb9d3d	PROCESS	Riprap재료축조	CIC_W	3716	댐공사 > 휠댐(제방) > Riprap재료축조	댐공사 > 휠댐(제방)	댐공사	3	YES	0		1	0	1	1	1	0	CIC_W:댐공사 > 휠댐(제방) > Riprap재료축조				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
83	0b9f05fd2c7861efb37e5a9d4aedc2360712edb9a0651d2bc85b5b79820c9cff	PROCESS	RockBolt축력및인발측정	CIC_W	1234	계측 > 터널공사계측 > RockBolt축력및인발측정	계측 > 터널공사계측	계측	3	YES	0		1	0	1	1	1	0	CIC_W:계측 > 터널공사계측 > RockBolt축력및인발측정				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
84	b71d60da07ee37da0d6b953c5ce1ed656e9d1a6e352cd2f8bdfb967f5e241881	PROCESS	SCP(SandCompactionPile)	CIC_W	2255	지반개량및지반보강공사 > 다짐공법 > SCP(SandCompactionPile)	지반개량및지반보강공사 > 다짐공법	지반개량및지반보강공사	3	YES	0		1	0	1	1	1	0	CIC_W:지반개량및지반보강공사 > 다짐공법 > SCP(SandCompactionPile)				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
85	860dfae19c69a0d246af300631e11161005a379bd1af6612875c86762f4cbcff	PROCESS	SheetPile	CIC_W	243	흙막이및지보공사 > SheetPile	흙막이및지보공사		2	YES	0		1	0	1	1	1	0	CIC_W:흙막이및지보공사 > SheetPile				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
86	975cb6c0568ed2b783d2d0c6a58dcc8cc3a65aa29c7a15548a25f3d9e50bd966	PROCESS	SheetPile가물막이	CIC_W	0372	본공사성가설공사 > 가물막이 > SheetPile가물막이	본공사성가설공사 > 가물막이	본공사성가설공사	3	YES	0		1	0	1	1	1	0	CIC_W:본공사성가설공사 > 가물막이 > SheetPile가물막이				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
87	deeda1c6c027a48eee0dd5410c8daea14b715f2c095ba778ff81c75c70c456eb	PROCESS	Shield공법굴착	CIC_W	3514	터널공사 > 터널굴착공사 > Shield공법굴착	터널공사 > 터널굴착공사	터널공사	3	YES	0		1	0	1	1	1	0	CIC_W:터널공사 > 터널굴착공사 > Shield공법굴착				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
88	efc89b38828e07459f9b0d0c218c397a1fa34886b1aadd2949c75c139881b370	PROCESS	Shotcrete응력측정	CIC_W	1235	계측 > 터널공사계측 > Shotcrete응력측정	계측 > 터널공사계측	계측	3	YES	0		1	0	1	1	1	0	CIC_W:계측 > 터널공사계측 > Shotcrete응력측정				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
89	f509bd65ef8db16879513e9ae1c536c2ce86400ff5a8a2ff7ee41d0e2aa484f1	PROCESS	T&C(TestandCommissioning)공사	CIC_W	9131	기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 플랜트 산업․전기설비시험 시운전공사 > T&C(TestandCommissioning)공사	기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 플랜트 산업․전기설비시험 시운전공사	기계 플랜트 산업설비 전기 통신시험 시운전공사	3	YES	0		1	0	1	1	1	0	CIC_W:기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 플랜트 산업․전기설비시험 시운전공사 > T&C(TestandCommissioning)공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
90	6a795498bcd06f99ce124f4cf52a5414f415fb4599b77a5f72b0ae56019cbe49	PROCESS	T.A.B(TestingAdjustingandBalancing)공사	CIC_W	9111	기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 프랜트공통시험 시운전공사 > T.A.B(TestingAdjustingandBalancing)공사	기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 프랜트공통시험 시운전공사	기계 플랜트 산업설비 전기 통신시험 시운전공사	3	YES	0		1	0	1	1	1	0	CIC_W:기계 플랜트 산업설비 전기 통신시험 시운전공사 > 기계 프랜트공통시험 시운전공사 > T.A.B(TestingAdjustingandBalancing)공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
91	33412615796bd766f30dbf2e80630ade174815917a31269a64554945836b7de5	PROCESS	TBM공법굴착	CIC_W	3513	터널공사 > 터널굴착공사 > TBM공법굴착	터널공사 > 터널굴착공사	터널공사	3	YES	0		1	0	1	1	1	0	CIC_W:터널공사 > 터널굴착공사 > TBM공법굴착				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
92	29cf63f9d74bf8d7538259bcdf4ecacf2f9056dbdee986ae7141a2e0a810172e	PROCESS	TV공청설비공사	CIC_W	8432	정보 통신설비공사 > 방송수신설비공사 > TV공청설비공사	정보 통신설비공사 > 방송수신설비공사	정보 통신설비공사	3	YES	0		1	0	1	1	1	0	CIC_W:정보 통신설비공사 > 방송수신설비공사 > TV공청설비공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
93	a3494d10c2e014eb537f40c2047c6fc42f04dcaf0747c1e7fb5a21f8f6ed2491	PROCESS	UBR(UnitBathRoom)설치	CIC_W	5425	수장공사 > 칸막이공사 > UBR(UnitBathRoom)설치	수장공사 > 칸막이공사	수장공사	3	YES	0		1	0	1	1	1	0	CIC_W:수장공사 > 칸막이공사 > UBR(UnitBathRoom)설치				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
94	da0fce6f1c58c7903477b7f5d1d9baf88361fe700decaa2376d051a2aa7c288c	PROCESS	가공목재조립식구조목공사	CIC_W	423	목공사 > 가공목재조립식구조목공사	목공사		2	YES	0		1	0	1	1	1	0	CIC_W:목공사 > 가공목재조립식구조목공사				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
95	1c46dc57f4ca5cfca99c9538a84617909bbff55e41431ba7abc4b6a346a6ca5f	PROCESS	가공석재조적	CIC_W	416	조적공사 > 가공석재조적	조적공사		2	NO	6	대리석조적 | 화강석조적 | 사암조적 | 석회암조적 | 천연슬레이트조적	1	0	1	1	1	0	CIC_W:조적공사 > 가공석재조적				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
96	d55a9bf5177f41261fc9d875225a6ceb45dc11aa63563596f787d0e4a268e142	PROCESS	가공유리	CIC_W	4866	창호공사 > 유리공사 > 가공유리	창호공사 > 유리공사	창호공사	3	YES	0		1	0	1	1	1	0	CIC_W:창호공사 > 유리공사 > 가공유리				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
97	2c890927ae82091f3f7cba4f67cadd8af15f2bddd667ff0d0aeaf76d9ad03094	PROCESS	가공재	CIC_W	2715	강구조물공사 > 강구조물자재 > 가공재	강구조물공사 > 강구조물자재	강구조물공사	3	YES	0		1	0	1	1	1	0	CIC_W:강구조물공사 > 강구조물자재 > 가공재				IS_LEAF	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
98	376b8a7b5a53f024a700b1152eb5656064779d10c2a7b133912387308a55ec5f	PROCESS	가구및집기	CIC_W	57	가구및집기			1	NO	4	일반가구 | 시설별특수가구 | 집기및비품 | 시설별특수집기및비품	1	0	1	1	1	0	CIC_W:가구및집기				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
99	ee99f011345b8dd8daefef045d4e83a1444a2e02706627fb4a99d85c13d8aa12	PROCESS	가구식구조목공사	CIC_W	421	목공사 > 가구식구조목공사	목공사		2	NO	7	토대 | 기둥 | 보(도리) | 벽체 | 목조마루틀	1	0	1	1	1	0	CIC_W:목공사 > 가구식구조목공사				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
100	83d2374ad808f954472683e4336426c74b21361b58bc49afd90ae0f463bdf409	PROCESS	가물막이	CIC_W	037	본공사성가설공사 > 가물막이	본공사성가설공사		2	NO	5	나무널말뚝가물막이 | SheetPile가물막이 | P.P마대가물막이 | 토사가물막이 | 사석가물막이	1	0	1	1	1	0	CIC_W:본공사성가설공사 > 가물막이				HAS_CHILDREN	REVIEW_READY	NONE	PENDING	EMPTY	EMPTY
