review_concept_key	concept_form	source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	source_candidate_origin	owner_approval_state
0cb29f276cba34947d96ef28d16d70dcecac201cd1d82b3ed52d897ec04c8ba9	SINGLETON	089	37745bd8af92a937f66091e0dc552ef05712414b839781928446a5bb5c441604	건축공사검사시험	W_MID	건축품질시험 > 건축공사검사시험	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
9ac4bb062d521abe8e69b359393e5ce6cf23efda77d4f73fbaae1d63f43d738f	SINGLETON	11	1af0df0bcd9381ff3cb50d3fb691afb696ae51bd5478c071c3bacec4ee5cc606	측량	W_ROOT	측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
3f612031c05b9c0b8ba03255f00c29f63216aab4035a4a662dab66c1ba3616ba	SINGLETON	111	26d606c0880898aed18d5cfd8e9021c02422fa73ea0dbaa5ed9db3dbc31f2484	기본측량	W_MID	측량 > 기본측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
ef5106a3f08ebe87aa6d4181ef077b2c5ea4b850219d6607cadf51e536d4cffc	SINGLETON	1111	2c91a7975e85f38c4c299862c9a17405227bff4c18df7f37cbf4c6264ceddf50	거리측정	W_LEAF	측량 > 기본측량 > 거리측정	TASK	ORIGINAL_KEEP	NOT_APPROVED
b03fbc6a3d1cc5c749f414fcc5f225a1321b4c14400c889ba34906b882270813	SINGLETON	1112	7c80c28751216d624b74caa9c2bae11d2eab68078c033ae4b0cc86f5efbc9183	각측정	W_LEAF	측량 > 기본측량 > 각측정	TASK	ORIGINAL_KEEP	NOT_APPROVED
7d8f4dfb952b59daa45a71b00c4fff5823d25e78430280718a0544fb9fed1892	SINGLETON	1113	366e31335635ef59be1346a774572750f9a2a06df8459b37678c6890f681c690	기준점측량	W_LEAF	측량 > 기본측량 > 기준점측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
796a1e54c219c3640bde0e60f3287acf9718e517d571ef534b81fdefcc942627	SINGLETON	1114	f6ed5adc3fa80738b471dd37064ce68efea2f786dae828f634adb9ecf10e4808	삼각측량	W_LEAF	측량 > 기본측량 > 삼각측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
13bdd5bc54f96d15e09d43d8f90f3253f1fdfc53cf54c00a8016b893fb25487a	SINGLETON	1115	17166a268e1bd3860915a9b947f16a61ec740928164a34311062cbeef21a7745	다각측량	W_LEAF	측량 > 기본측량 > 다각측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
750067d3e434ddea0d8600d1f6d1e29d36e09c7cb701500f63c5ef434b3581f0	SINGLETON	1116	867795296d9312583bc7fc3285396223350a31f50a749de01609c947373be536	수준측량	W_LEAF	측량 > 기본측량 > 수준측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
f52ae7416a09a26bbb59179713d2ae9be9315392f78c60beec016bca3ba7a5ed	SINGLETON	1117	c8ea7fe8c718e2e8edf33c9cfeb120275090a5eddd2c382d04b7d340170a0558	사진측량	W_LEAF	측량 > 기본측량 > 사진측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
