review_no	seed_proposal_key	source_id	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_path	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	reviewed_sibling_count	reviewed_sibling_refs	lexical_cues	current_semantic_kind	current_review_decision	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
1121	0b6fd762d4da1f1675481bb05b95df913b17e7e50935eed4900f570738391fd9	CIC_W	3221	포장콘크리트포설	포장및도로공사 > 콘크리트포장 > 포장콘크리트포설	포장및도로공사	32	콘크리트포장	322	포장및도로공사 > 콘크리트포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	2	포장거푸집 | 콘크리트포장줄눈	1	포장및도로공사 > 콘크리트포장 > 포장콘크리트포설	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1122	90b77c65d0065024558b62ab9ec19d83240b56e89fc1a853b3bbb17d5cc6384b	CIC_W	3223	포장거푸집	포장및도로공사 > 콘크리트포장 > 포장거푸집	포장및도로공사	32	콘크리트포장	322	포장및도로공사 > 콘크리트포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	2	포장콘크리트포설 | 콘크리트포장줄눈	1	포장및도로공사 > 콘크리트포장 > 포장거푸집	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1123	ff8e52e5640550c524555dac817eb1cd0fed5682e3641adb43946153ffd5a444	CIC_W	3228	콘크리트포장줄눈	포장및도로공사 > 콘크리트포장 > 콘크리트포장줄눈	포장및도로공사	32	콘크리트포장	322	포장및도로공사 > 콘크리트포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	2	포장콘크리트포설 | 포장거푸집	1	포장및도로공사 > 콘크리트포장 > 콘크리트포장줄눈	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1124	8cbbe33ec6f1d1c0a6ab3d736bf99b242559d90f2bd7a46f86812421c5a257b9	CIC_W	3231	머캐덤포장	포장및도로공사 > 경하중포장 > 머캐덤포장	포장및도로공사	32	경하중포장	323	포장및도로공사 > 경하중포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	경하중아스콘포장 | 투수콘크리트포장 | 보도블록포장 | 우레탄수지포장	1	포장및도로공사 > 경하중포장 > 머캐덤포장	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1125	3f5696a9f3cf7dc2c02ee6070dc8112b9cd2972efaca23878939c60f860f8a00	CIC_W	3232	경하중아스콘포장	포장및도로공사 > 경하중포장 > 경하중아스콘포장	포장및도로공사	32	경하중포장	323	포장및도로공사 > 경하중포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	머캐덤포장 | 투수콘크리트포장 | 보도블록포장 | 우레탄수지포장	1	포장및도로공사 > 경하중포장 > 경하중아스콘포장	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1126	db4fdc61a957478824a3ca78eb2da42a21755082c47ab91da5f069cef172bbd5	CIC_W	3233	투수콘크리트포장	포장및도로공사 > 경하중포장 > 투수콘크리트포장	포장및도로공사	32	경하중포장	323	포장및도로공사 > 경하중포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	머캐덤포장 | 경하중아스콘포장 | 보도블록포장 | 우레탄수지포장	1	포장및도로공사 > 경하중포장 > 투수콘크리트포장	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1127	820c688fb95b871c0ea88272fdea677ced3f6ca7253fc552200baea46968e56a	CIC_W	3234	보도블록포장	포장및도로공사 > 경하중포장 > 보도블록포장	포장및도로공사	32	경하중포장	323	포장및도로공사 > 경하중포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	머캐덤포장 | 경하중아스콘포장 | 투수콘크리트포장 | 우레탄수지포장	1	포장및도로공사 > 경하중포장 > 보도블록포장	0		0		MATERIAL_LIKE_TOKEN	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1128	d51b69c570ddce4fbbd932b679ac2d535adba6884815f0ffe19cbe903f885611	CIC_W	3235	우레탄수지포장	포장및도로공사 > 경하중포장 > 우레탄수지포장	포장및도로공사	32	경하중포장	323	포장및도로공사 > 경하중포장	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	머캐덤포장 | 경하중아스콘포장 | 투수콘크리트포장 | 보도블록포장	1	포장및도로공사 > 경하중포장 > 우레탄수지포장	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1129	a3b77e28b64767a0c107a8bfa6f0c48decc9deeda4034d4e074657a3657829b5	CIC_W	3241	도로배수관로	포장및도로공사 > 도로배수시설공사 > 도로배수관로	포장및도로공사	32	도로배수시설공사	324	포장및도로공사 > 도로배수시설공사	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	1	도로배수구조물 - - 대․중․소 분류대․중․소 분류	1	포장및도로공사 > 도로배수시설공사 > 도로배수관로	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1130	4f174193200fe14c08bab744cd78fa99b194951f4829f753ee19900d6e3789a9	CIC_W	3242	도로배수구조물 - - 대․중․소 분류대․중․소 분류	포장및도로공사 > 도로배수시설공사 > 도로배수구조물 - - 대․중․소 분류대․중․소 분류	포장및도로공사	32	도로배수시설공사	324	포장및도로공사 > 도로배수시설공사	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	1	도로배수관로	1	포장및도로공사 > 도로배수시설공사 > 도로배수구조물 - - 대․중․소 분류대․중․소 분류	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
